id,reactions,comments,shares
272609309612079_913536998852637,99485,3112,932
272609309612079_869513453254992,98852,1964,3126
272609309612079_904908393048831,98623,4450,12987
272609309612079_940598832813120,95312,2008,1096
272609309612079_869940099878994,94707,3207,17674
272609309612079_893349477538056,82073,3099,10221
272609309612079_875984612607876,74399,2016,8962
272609309612079_930437093829294,66627,2465,7827
272609309612079_933942603478743,64928,1108,3361
272609309612079_969569406582729,62366,1879,2461
272609309612079_892186294321041,62068,1224,4603
272609309612079_868370353369302,61872,2461,2569
272609309612079_988243071382029,60555,1582,2314
272609309612079_971987673007569,59501,492,2416
272609309612079_982310045308665,57914,1895,1830
272609309612079_901160553423615,56792,942,763
272609309612079_933523286854008,56622,1712,570
272609309612079_945330572339946,55234,1457,270
272609309612079_991253061081030,53099,607,1485
272609309612079_992375667635436,53043,1314,2348
272609309612079_879685448904459,52361,2339,7154
272609309612079_902721046600899,51703,539,2368
272609309612079_962571357282534,50972,707,845
272609309612079_959187320954271,48778,1326,365
272609309612079_980428142163522,48552,1328,623
272609309612079_963328730540130,47598,973,850
272609309612079_908103052729365,47243,430,2510
272609309612079_880903368782667,46346,871,524
272609309612079_957684301104573,45649,819,1029
272609309612079_991304644409205,45308,1174,105
272609309612079_962721567267513,44055,1331,1109
272609309612079_876862792520058,43140,2515,1930
272609309612079_932435240296146,42394,2511,3401
272609309612079_972639666275703,42145,1673,1306
272609309612079_972485339624469,42141,503,1049
272609309612079_991839127689090,40983,333,393
272609309612079_993235704216099,40800,2357,1875
272609309612079_986374431568893,40654,3043,1886
272609309612079_955363321336671,40578,1492,1690
141108613290_10156885817783291,39622,1393,2355
272609309612079_966508786888791,39289,604,471
272609309612079_952034365002900,38869,980,72
141108613290_10156896339548291,38361,4509,6813
272609309612079_878906182315719,38047,1646,1130
272609309612079_932223090317361,37279,500,262
272609309612079_925899440949726,36613,959,983
272609309612079_978122199060783,36509,632,398
272609309612079_912784925594511,36425,1220,755
272609309612079_959898927549777,35978,717,215
272609309612079_989599627913040,34898,1379,756
272609309612079_967821100090893,34835,1232,1903
272609309612079_932975910242079,34422,599,262
272609309612079_981825092023827,33935,1793,1483
272609309612079_970226166517053,33911,438,552
272609309612079_906456549560682,33584,891,640
272609309612079_912820672257603,33552,1012,606
272609309612079_899690726903931,33341,1077,13
272609309612079_989459001260436,33120,1413,1233
272609309612079_949168318622838,32881,409,1832
272609309612079_870359483170389,32628,2393,914
272609309612079_992989864240683,32191,587,815
272609309612079_878103212396016,31685,2140,878
272609309612079_981055812100755,31149,576,451
272609309612079_984469578426045,31027,657,374
272609309612079_957636127776057,30925,464,788
272609309612079_976102055929464,30912,910,40
272609309612079_920363541503316,30783,1137,869
272609309612079_983147501891586,30723,1333,641
272609309612079_974294442776892,30289,734,1599
272609309612079_974427756096894,30187,517,1002
272609309612079_872942592912078,29960,1935,915
272609309612079_932585643614439,29456,938,720
272609309612079_927145414158462,29401,805,567
272609309612079_958708361002167,28969,970,25
272609309612079_995118664027803,28940,1017,1332
272609309612079_994985984041071,28674,1155,778
272609309612079_926909037515433,28356,352,110
272609309612079_869874449885559,28141,729,3215
272609309612079_968570223349314,28096,473,927
272609309612079_928637474009256,27959,568,98
272609309612079_947931322079871,27607,752,37
272609309612079_963788173827519,27531,947,832
272609309612079_993670397505963,27488,534,1506
272609309612079_955756991297304,27164,387,653
272609309612079_892141464325524,27113,805,1232
272609309612079_953365988203071,27010,481,430
272609309612079_940945139445156,26837,444,46
272609309612079_901012590105078,26187,338,388
272609309612079_994232690783067,25739,559,884
272609309612079_985726281633708,25596,1940,108
272609309612079_890640577808946,25453,484,398
272609309612079_929102867296050,25392,482,181
272609309612079_950768378462832,25384,496,189
272609309612079_950056648534005,25212,454,26
272609309612079_906493029557034,24974,600,144
141108613290_10157105289018291,24773,3404,10407
272609309612079_877379009135103,24647,501,135
272609309612079_982982755241394,24275,1441,529
272609309612079_971747543031582,24039,864,42
272609309612079_971406539732349,23876,454,535
272609309612079_987074278165575,23616,379,99
272609309612079_933238613549142,23502,412,226
272609309612079_971873379685665,23469,373,283
272609309612079_883550705184600,23293,929,39
272609309612079_898620717010932,23189,538,290
272609309612079_884143858458618,23138,820,298
272609309612079_985078881698448,23088,858,18
141108613290_10156798118788291,22999,228,1539
272609309612079_946131488926521,22958,291,207
272609309612079_867907023415635,22825,430,821
272609309612079_995437773995892,22708,941,378
272609309612079_890504907822513,22629,847,234
272609309612079_965001523706184,22466,867,156
272609309612079_925525760987094,22245,1149,421
272609309612079_948352962037707,22136,1105,1089
272609309612079_874170479455956,21997,1185,263
272609309612079_937586989780971,21765,784,1336
272609309612079_868194476720223,21458,808,749
272609309612079_983402928532710,21408,471,98
141108613290_10157071487018291,21280,772,462
272609309612079_975521485987521,21244,616,266
272609309612079_899601033579567,21137,1077,31
272609309612079_912426052297065,20272,360,737
272609309612079_935151853357818,20050,1324,4281
141108613290_10157117080828291,19749,700,1435
272609309612079_869094586630212,19715,1134,284
272609309612079_886878888185115,19591,658,20
272609309612079_942996702573333,19435,520,580
272609309612079_948804371992566,19388,1152,887
272609309612079_869019083304429,19231,590,106
272609309612079_941882376018099,19022,1017,563
272609309612079_911575402382130,19018,1271,389
272609309612079_920220044850999,18784,952,233
141108613290_10157001194323291,18655,123,938
272609309612079_983932681813068,18584,537,535
272609309612079_928409880698682,18559,773,90
272609309612079_924489451090725,18285,1035,55
272609309612079_973065436233126,18214,405,184
272609309612079_961353677404302,18214,357,53
272609309612079_914884672051203,18213,427,75
272609309612079_925264297679907,18086,866,572
272609309612079_931463037060033,17892,437,28
272609309612079_907365822803088,17817,160,209
272609309612079_927458040793866,17738,631,158
272609309612079_935781789961491,17685,285,84
272609309612079_886099954929675,17677,464,438
272609309612079_951559888383681,17633,253,300
272609309612079_940004659539204,17517,628,495
272609309612079_897846893754981,17457,336,458
272609309612079_967613426778327,17128,760,38
272609309612079_923047194568284,17004,429,107
272609309612079_962022110670792,16960,1395,93
272609309612079_925135811026089,16736,484,32
272609309612079_921218708084466,16603,322,55
272609309612079_954594431413560,16562,319,38
272609309612079_895892937283710,16544,452,124
272609309612079_956917027847967,16509,412,307
272609309612079_948315042041499,16238,507,208
272609309612079_907013206171683,16147,573,245
272609309612079_973751529497850,16140,363,219
272609309612079_971188346420835,16121,826,136
272609309612079_947286828810987,16032,349,247
272609309612079_962471290625874,16004,409,44
272609309612079_925439607662376,15887,567,506
141108613290_2185073491775169,15796,1250,7418
272609309612079_986771928195810,15660,564,439
272609309612079_950711295135207,15533,771,285
272609309612079_967065140166489,15531,488,70
272609309612079_974338716105798,15395,344,190
272609309612079_951603061712697,14950,359,110
272609309612079_907128029493534,14884,330,161
272609309612079_979672428905760,14843,338,23
272609309612079_958872370985766,14762,305,41
272609309612079_920886471451023,14726,585,66
272609309612079_947738312099172,14705,321,182
141108613290_10156787683638291,14514,161,415
272609309612079_951038858435784,14384,350,67
141108613290_10156883406018291,14263,518,944
272609309612079_927517694121234,14235,300,45
272609309612079_932059320333738,14143,379,65
272609309612079_921030264769977,13878,238,52
272609309612079_972831809589822,13812,436,63
272609309612079_912623148944022,13795,376,22
272609309612079_961604120699125,13748,586,281
272609309612079_928589814014022,13738,672,33
272609309612079_921884658017871,13736,359,30
272609309612079_925680660971604,13593,501,164
141108613290_10157045082063291,13382,596,791
141108613290_10157107639403291,13328,67,320
272609309612079_967106400162363,13323,226,410
272609309612079_953313541541649,13247,637,111
141108613290_10157142953988291,13185,286,1529
272609309612079_994288280777508,13051,331,14
272609309612079_949127315293605,12982,346,37
272609309612079_955623391310664,12805,322,49
272609309612079_946890122183991,12742,207,53
272609309612079_929931830546487,12738,340,56
272609309612079_988469454692724,12698,229,61
272609309612079_868012150071789,12689,891,87
272609309612079_934483293424674,12629,250,21
272609309612079_929166877289649,12599,451,79
141108613290_10156885833178291,12538,447,389
141108613290_10157113209253291,12480,435,1871
272609309612079_981089708764032,12436,436,467
272609309612079_985205955019074,12328,307,80
272609309612079_897731707099833,12167,242,98
272609309612079_974270202779316,12164,252,15
272609309612079_935541999985470,12134,415,313
272609309612079_976937312512605,11967,299,37
272609309612079_979833318889671,11940,342,34
141108613290_10156868870133291,11898,822,787
141108613290_10157143643033291,11829,755,4808
272609309612079_952527334953603,11654,570,10
272609309612079_922009001338770,11599,510,632
272609309612079_934563863416617,11550,253,91
