id,created_date,created_time,type,message,link
141108613290_10157071487018291,27/11/2018,12:39:03,link,ป้าขวานซิ่งแกโดนริดรอนสิทธิมาเยอะ ตอนนี้แกก็เลยทำสิ่งที่แกควรทำมานานนน คือรักษาสิทธิของตัวเองและทำตามที่กฏหมาย คำสั่งศาล กำหนดไว้ จริงๆมันจะไม่มีเหตุการณ์แบบนี้หรอก ถ้าคนในตลาด มีน้ำใจให้ป้าแกตั้งแต่ต้น พับผ่า,https://www.one31.net/news/detail/6336?fbclid=IwAR0OkK40-ifZlKv1l-0KcpQfHCYAaYvddTLmJHQsNU13pznJsWgfZTcX2G0
141108613290_10156883406018291,13/9/2018,17:20:10,link,รอบนี้แซะไม่เข้านะ ถถถถถถถถถถถ,http://ow.ly/d2FT30lNJXo
141108613290_10156869640923291,8/9/2018,19:21:20,link,คลิปโปรโมทงานสอนเขียนโค้ดของ depa อันก่อน syntax error ครับ ถถถถถ ทางผู้จัดทำเขาแก้ไขเรียบร้อน อันนี้ hello world ได้แน่นอน ใครมีลูกมีหลายและสนใจอยากให้หัดเขียนโปรแกรมคอมพ์ ลองพาไปสมัครกันนาจา,https://m.youtube.com/watch?v=87fDpTjjwss
141108613290_10156872405653291,9/9/2018,17:33:04,link,ขอบคุณพ่อแม่พี่น้องที่ช่วยกันบริจาค อย่าลืมจูงลูกจูงหลานไปดูกันนะจ๊ะ,https://www.kaokonlakao.com/
141108613290_10157006864818291,31/10/2018,22:13:51,link,ลง netflix เมื่อไหร่บอกด้วยนู๋ จะได้ดูรวดเดียวซ้ากที,https://www.facebook.com/141108613290/posts/10157006413348291/
141108613290_10156861401653291,5/9/2018,12:22:53,link,ปีนี้ตายเพราะพิษสุนัขบ้า 16 คนแล้วครับ,https://www.matichon.co.th/local/quality-life/news_1117343
141108613290_10156911543503291,24/9/2018,8:50:42,link,อืมมมมมมมม,http://www.amarintv.com/news-update/news-12511/263688/
141108613290_10156857280413291,3/9/2018,23:07:10,link,รีวิว ก่อนจะไปดูของจริงกันวันพฤหัสนี้ มีคนบอกว่า ระวังไปร้องไห้ในโรง กรูดูไปร้องไห้ไปไม่รู้กี่รอบ ไม่ใช่เพราะเป็นบุคลากรทางการแพทย์เลยอินไปกับหนังเรื่องนี้ แต่เพราะการเล่าเรื่องมันงดงามจริงๆ ร้องไห้ด้วยความอิ่มเอมว่ะ มีพ่อแม่มีลูกหลาน จูงกันไปดูให้หมด มันเป็นหนังที่คนไทยควรดูมากๆ อาจจะเหมาะเป็นพิเศษ สำหรับคนที่กำลังค้นหาตัวตน ค้นหาความหมายของชีวิตอยู่นะ บอกได้แค่นี้แหละ,https://www.beartai.com/lifestyle/274749
141108613290_10157153819933291,29/12/2018,21:37:53,link,ใครว่างๆไม่ได้ไปไหน ว่างๆแวะไปกาชาดกันนะคนับ ช่วงนี้น่าจะใช้เลือดเยอะกันทั่วประเทศ,http://news.thaipbs.or.th/content/276642
141108613290_10157098462638291,7/12/2018,22:54:44,link,...ว้อท เครื่องสำอางยี่ห้อไหนวะที่อวดอ้างว่าเอาหนังหุ้มกุเจี๊ยวเด็กทารกมาเป็นส่วนผสม,https://oryor.com/digi_dev/detail/media_news/1526
