id,created_date,created_time,type,message,link
272609309612079_975521485987521,29/11/2018,12:07:00,link,""" ศาลเจ้าพ่อกาโม่ไม่ใช่สถานที่ แต่คือผู้คน "" มึงจะรื้อศาลไปที่ใด แต่ตัวเลขมันจะยังอยู่ในใจพวกเราเสมอ 18 81 11 88 #โคตรมั่นใจ",https://www.dailynews.co.th/regional/679668
272609309612079_988243071382029,19/12/2018,10:05:00,link,"กองปราบออกมาจี้ ตามคดีแล้ว !!! ยึกยักคงไม่ได้ ยังไงฝากดูตำรวจที่พยามโทรไปไกล่เกลี่ย และท่าน อบต.ญาติไอ้ตัวข่มขืน ที่ เอาเด็กผญ 12 มานั่งสอบสวนกลางลานบ้าน คนเป็นสิบ จี้ถามเด็กมัน ""ใครเสร็จไม่เสร็จ"" ด้วยนะครับ พอจัดข้อหาอะไรให้ได้บ้าง ก็เอาซะหน่อย",https://www.dailynews.co.th/crime/683267
272609309612079_972485339624469,24/11/2018,10:07:00,link,กูสงสารมึงจริงๆ มึงแม่งเกิดผิดประเทศแท้ๆ ถ้ามึงมาขับแท็กซี่บางประเทศ แล้วโดนจับได้จะๆแบบนี้นะ เค้าปรับพันนึง ให้เข้าไปในห้องแอร์ดูวีดิโอโง่ๆสองชม. แล้วให้มึงหยุดพักผ่อนสักเดือน แล้วค่อยกลับมาโกงนักท่องเที่ยวต่อ แต่ไม่ใช่ประเทศไทยนะ ประเทศกูไม่มีแท็กซี่ขี้โกง,http://www.js100.com/en/site/news/view/64915
272609309612079_972639666275703,24/11/2018,16:45:00,link,คนตบ ขอโทษ จ่ายสี่หมื่น คนถูกตบ ถอนแจ้งความ คนดู แยกย้ายกันไปทำมาหาแดก จบ,https://www.dailynews.co.th/crime/678955
272609309612079_971873379685665,23/11/2018,11:44:00,link,"คือดูข่าวนี้จากทั้งทีวี และ ในเน็ตกูหงุดหงิด กะไอ้ข้อกฎหมายที่ห้ามเปิดเผยหน้า ไอ้คนทำผิดมากเลยนะ โอเคถ้ามันเป็นแค่ผู้ต้องหา ผู้ต้องสงสัย ยังไม่ชัดเจนว่ามันทำหรือไม่ อันนี้พอเข้าใจได้ แต่อย่างไอ้หอกเนี่ย กล้องคาอยู่ที่ตีน เจ้าทุกข์ก็ชี้ชัดเจน พยาน หลักฐานครบ แถมแม่งก็ยอมรับว่ามันทำจริง ทำไมจะเปิดเผยไม่ได้วะ เพราะคนประเภทนี้ แม่งสันดานฝังลึก มันเลิกไม่ได้หรอก เดี๋ยวแม่งก็ทำอีก เปิดหน้าแม่งไปเลย ให้ ผญ คนอื่น เจ้าของงาน หรือสังคมเค้าจะได้รู้ว่า ""เฮ้ย ไอ้โรคจิตนี่ที่เคย แอบถ่ายนี่หว่า แม่งเข้ามาในงานโว้ย จับตาดูไว้"" เหยื่อคนต่อไป อาจจะเป็นน้อง เป็นลูก เมีย แฟนของพวกเราก็ได้ เค้าจะได้จำหน้ามัน จะได้ ระวังตัว เพราะไม่รู้ว่าจะโชคดีจับแม่งได้อย่างเคสนี้มั้ย ตัวแม่ง หรือคนที่คิดจะทำอย่างแม่ง จะได้รู้สึกละอาย กลัวที่จะถูกประจาน แม่งจะเกรงกฎหมายบ้าง ผู้เสียหายมึงเปิดหน้าหรา แต่คนเหี้ยๆเนี่ยช่วยเซฟ ช่วยเบลอหน้ากันจัง ออกกฎหมายไม่ต้องไปเกรงใจแม่งมากหรอก พวกนักสิทธิ นักแอมแนสตี้hee tad เนี่ย เกรงใจจนสังคมแม่งมั่วซั่วเลอะเทอะไปหมดแล้ว",https://www.khaosod.co.th/special-stories/news_1861547
272609309612079_950711295135207,15/10/2018,17:34:00,link,เป็นข่าวที่กู ออกความเห็นไม่ถูกเลย.. ทะเลาะกะแฟน ไม่มีตังจ่ายค่าเช่าบ้าน และไม่มีรถมอไซใช้ เลยไลฟ์สดจะผูกคอตาย!!?? ตำรวจเลยมาช่วย และ ช่วยจ่ายค่าเช่าบ้านให้ และช่วยดาวน์มอไซมือสองไว้ขี่ กูควรจะรู้สึกไงกะข่าวนี้วะ 55555 ทำตัวไม่ถูก ปล. ชื่นชมคุณตำรวจที่รีบเข้าไปช่วยชีวิตน้องได้ทันท่วงทีนะ อันนี้สุดยอด แต่เนื้อเรื่องที่เหลือ และเรื่องของน้อง อาจจะทำเรางงๆสักหน่อย 55555,http://www.amarintv.com/news-update/news-13181/276402/
272609309612079_933942603478743,11/9/2018,6:12:00,link,พี่โอ วรุฒ จากไปเมื่อประมาณ เวลาตีสองกว่าๆนะครับ ขอแสดงความเสียใจกับ ครอบครัว ญาติ เพื่อนฝูง และ แฟนๆของพี่โอ ทุกท่านครับ,https://www.thairath.co.th/content/1372941
272609309612079_982310045308665,10/12/2018,8:33:00,link,น่าอิจฉาคนที่หยุดยาว ได้ออกไปเที่ยวต่างจังหวัด หนีรถติด หนีผู้คน หนีความสับสนวุ่นวายของเมืองหลวงไปไกลๆ ได้ขับรถบนถนนโล่งๆ ลมเย็นๆ สูดอากาศบริสุทธิ์ ได้อยู่กับความเงียบ ไม่มีใคร มีแค่ตัวคุณและธรรมชาติอย่างแท้จริง ผมอิจฉาคุณจริงๆ คุณโชคดีมาก,https://www.dailynews.co.th/regional/681636
272609309612079_970226166517053,20/11/2018,12:55:00,link,บอกแล้ว อย่าไปตบโต๊ะใส่ตาอัจแก 555555 โดนไป 5 เรื่องเหนาะๆ พรุ่งนี้ทางคณะกรรมการจะเข้าไปแจ้งความดำเนินคดี กับ รพ. นี่เฉพาะ เรื่องผิดทางการแพทย์ จาก สบส. เท่านั้นนะ เรื่องอาคาร เรื่องสรรพากร เรื่องฟ้องแพ่ง ยังไม่ได้พูดถึงนะ บอกแล้วอย่าไปห้าวกะอัจฉริยะ,https://www.dailynews.co.th/crime/678120
272609309612079_927517694121234,29/8/2018,12:37:00,link,วอลเลย์หญิง ยังไม่แพ้ใครเลย เก่งโคตรอ่ะ ชนะเวียดนามไปสามเซ็ทรวด แต่ชัชชุอร ดันเจ็บเพราะไปเหยียบทัดดาวแฟนผมซะงั้น เลยมีคนหลังไมค์มาด่า ว่า เพราะกูชอบทัดดาว เลยทำให้ เพื่อนทัดดาวเจ็บ สรุป กูผิด 555555 คงแค่ Foot Chilli นิดเดียวแหละ เดี๋ยวก็หาย สู้ๆ เชียร์สาวไทยชุดนี้ ให้ได้ทองให้ได้ เจ๊หน่องจะได้ ปิดตำนานเอเชี่ยนเกมส์ แบบสวยๆ ในอายุ 45 ปี,https://www.foxsports.co.th/asian-games/56028/%e0%b9%80%e0%b8%89%e0%b8%b5%e0%b8%a2%e0%b8%9a%e0%b8%82%e0%b8%b2%e0%b8%94%e0%b8%81%e0%b8%a7%e0%b9%88%e0%b8%b2-%e0%b8%97%e0%b8%b5%e0%b8%a1%e0%b8%a7%e0%b8%ad%e0%b8%a5%e0%b9%80%e0%b8%a5%e0%b8%a2%e0%b9%8c/
272609309612079_963788173827519,9/11/2018,12:46:00,link,เหี้ยแล้วไง เพิ่งล้างรถเมื่อวาน 120กู หมดกัน อีดอกกกกกกกกกก !!!!!,https://morning-news.bectero.com/social-crime/09-Nov-2018/133022
272609309612079_950600601812943,15/10/2018,12:14:00,link,"เห็นด่าๆกันอยู่ เรื่องคนละสามล้านกว่า ใจเย็นๆนะจ๊ะ ยังไม่ได้เซ็น ยังไม่ตกลงกัน แต่ถึงเด็กจะได้เท่าไหร่ยังไง ก็อย่าไปด่ามันเลย เพราะเด็กมันก็ไม่ได้เรียกร้องดิ้นรนอะไร ผู้ใหญ่เอามาถวายให้ทั้งนั้น ผู้ใหญ่บอกให้ทำไร เค้าก็ทำ ถ้าจะแซะก็แซะผู้ใหญ่เถอะ หรือถ้าให้สบายใจ แม่ผมบอกไว้ว่า ""ก็คิดซะว่า น้องๆเค้าช่วยโปรโมทการท่องเที่ยว โปรโมทให้คนรู้จักประเทศไทยเราแล้วกันน่ะ """,https://www.prachachat.net/general/news-234543
272609309612079_932435240296146,8/9/2018,8:56:00,link,บอกแล้ว วันนี้ ปิดคดี ตอแหลต่อไปไม่ไหว โดนทั้งตัวหนังสือไทย ทั้งบาร์โค๊ด ดิ้นไม่รอด 55555 งานนี้ต้องชมพี่อัจฉริยะ แม่ง น่ากลัวมากๆ ฝีมือจริงๆ ต้องให้เครดิตแก ไอ้เหี้ย วันแรกกูก็ชมมึงเข้าไปสิ ยกระดับคนขายหวยงี้ ซื่อสัตย์งี้ ชิบหาย เชี่ยหนักกว่าเจ๊ๆบางคนอีก ส้นตีน5555 ใครอยู่ใกล้แผง ฝากเดินไปด่าหน่อย ตอแหลคนทั้งประเทศ อ้อ แล้วซื้อ 42 มาฝากชุดนึงด้วย ตังออกไปก่อน,https://www.dailynews.co.th/regional/664967
272609309612079_962571357282534,7/11/2018,12:46:00,link,สนุกล่ะมึงทีนี้ ผลงานอาแปะช่วงหลังๆนี่เข้าเป้าทุกดอก งานก็นี้น่าจะเสร็จแปะอีกเช่นเคย รักจะรุ่งอย่ายุ่งกะอัจฉริยะ 55555,https://www.dailynews.co.th/regional/675720
272609309612079_985205955019074,14/12/2018,13:53:00,link,ลาก่อยยยยยยย ข้อหาหมิ่นประมาทลุงกำนันโดยการโฆษณา อันนี้ติดจริง ไม่ใช้สลิง ไม่มีสตั๊นนะคะ เปลี่ยนชุดลำลอง เข้ารีสอร์ททันทีเลย เอาน่า ปีนึง แป๊บๆ ดูอย่างเฮียชูสิ แจ้งข่าวให้ทราบแบบเพื่อนฝูงคุยกัน แต่ถ้ามา กีฬาสี กัดกัน หรือหมิ่นศาลในนี้ กูแบนนะคะ 55555 แบนจริงไม่มีรอลงเหมือนกัน,http://www.nationtv.tv/main/content/378676429/
272609309612079_963328730540130,8/11/2018,18:44:00,link,ลาก่อยยยยยยยนะมึง ใจดำชิบหาย ทำลายชีวิตคนอื่นได้แบบไม่คิดเหี้ยอะไรเลย ความสงสารไม่มีในใจเลยหรือไง ขอให้คุกยาวๆนะ olo,https://www.dailynews.co.th/regional/676035
272609309612079_993235704216099,27/12/2018,16:49:00,link,เย้!!!!!������ ⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚⌚,http://www.komkhaotuathai.com/content/7952
272609309612079_935781789961491,14/9/2018,21:31:00,link,"ท่าทางแก๊งสามช่าจะมีมุกใหม่ มาแทน""เชียงราย"" ของพี่หม่ำแล้วสินะ ไม่ทราบเรื่องจะจริงเท็จยังไง ผมเป็นกำลังใจให้พี่เท่งนะครับ",http://www.nationtv.tv/main/content/378656647/
